algorithm,laptime,finish,collision,max_speed,sus_a,sus_b,braking_a,braking_b
FGM_GNU_CONV,8.259999999999868,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.4444444444444444
FGM_GNU_CONV,8.259999999999868,1.0,True,15.0,0.3,0.2,-1.5555555555555556,1.5
FGM_GNU_CONV,8.989999999999853,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.0
FGM_GNU_CONV,8.68999999999986,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.0555555555555556
FGM_GNU_CONV,8.529999999999863,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.1111111111111112
FGM_GNU_CONV,8.429999999999865,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.1666666666666667
FGM_GNU_CONV,8.359999999999866,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.2222222222222223
FGM_GNU_CONV,8.309999999999867,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.2777777777777777
FGM_GNU_CONV,8.279999999999868,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.3333333333333333
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.3888888888888888
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.4444444444444444
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.3333333333333335,1.5
FGM_GNU_CONV,9.09999999999985,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.0
FGM_GNU_CONV,8.769999999999857,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.0555555555555556
FGM_GNU_CONV,8.579999999999862,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.1111111111111112
FGM_GNU_CONV,8.469999999999864,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.1666666666666667
FGM_GNU_CONV,8.379999999999866,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.2222222222222223
FGM_GNU_CONV,8.329999999999867,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.2777777777777777
FGM_GNU_CONV,8.289999999999868,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.3333333333333333
FGM_GNU_CONV,8.279999999999868,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.3888888888888888
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.4444444444444444
FGM_GNU_CONV,8.269999999999868,1.0,True,15.0,0.3,0.2,-1.1111111111111112,1.5
